nacin,velicinaNiza,brojNiti,trajanje
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,1
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,1
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,1
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,1
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,1
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,0
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,1
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,1
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,0
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,100,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,100,4,1
AVX2,100,4,0
AVX2,100,4,0
AVX2,100,4,0
Paralelno-Taskovi-medianOfThreePivot,300,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,300,4,0
AVX2,300,4,0
AVX2,300,4,0
AVX2,300,4,0
Paralelno-Taskovi-medianOfThreePivot,300,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,300,4,1
AVX2,300,4,0
AVX2,300,4,0
AVX2,300,4,0
Paralelno-Taskovi-medianOfThreePivot,300,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,300,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,300,4,1
AVX2,300,4,0
AVX2,300,4,0
AVX2,300,4,0
Paralelno-Taskovi-medianOfThreePivot,10,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,10,4,0
AVX2,10,4,0
AVX2,10,4,0
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,10,4,1
Paralelno-Taskovi_v2-medianOfThreePivot,10,4,1
AVX2,10,4,0
AVX2,10,4,0
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,10,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,10,4,0
AVX2,10,4,0
AVX2,10,4,0
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,10,4,0
Paralelno-Taskovi_v2-medianOfThreePivot,10,4,0
AVX2,10,4,0
AVX2,10,4,0
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,225
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,137
AVX2,200000,4,8
AVX2,200000,4,27
AVX2,200000,4,19
Paralelno-Taskovi-medianOfThreePivot,200000,4,219
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,119
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,227
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,119
AVX2,200000,4,7
AVX2,200000,4,18
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,218
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,115
AVX2,200000,4,7
AVX2,200000,4,18
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,216
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,121
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,224
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,119
AVX2,200000,4,7
AVX2,200000,4,19
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,221
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,125
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,5
AVX2,200000,4,7
AVX2,200000,4,19
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,214
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,118
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,5
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,217
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,131
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,4
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,214
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,121
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,4
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,236
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,125
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,4
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,225
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,130
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,4
AVX2,200000,4,6
AVX2,200000,4,19
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,238
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,126
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,5
AVX2,200000,4,6
AVX2,200000,4,19
AVX2,200000,4,17
Paralelno-Taskovi-medianOfThreePivot,200000,4,227
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,122
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,5
AVX2,200000,4,2052
AVX2,200000,4,18
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,227
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,123
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,5
AVX2,200000,4,2900
AVX2,200000,4,17
AVX2,200000,4,18
Paralelno-Taskovi-medianOfThreePivot,200000,4,220
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,123
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,5
AVX2,200000,4,6
AVX2,200000,4,19
AVX2,200000,4,19
Paralelno-Taskovi-medianOfThreePivot,200000,4,229
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,118
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,4
AVX2,200000,4,6
AVX2,200000,4,18
AVX2,200000,4,17
